,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""","In the last 12 months, have you done any of the following in Karachi? Please select all that apply",Do you trust Karachi's various administrative bodies and caretakers with your well-being?,Have you given feedback or participated in the design process of any public project in Karachi?
637,120dup,15 - 24 years,Male,"75,001 - 100,000 rupees",Liaquatabad,"Visit a theatre (play, movies)",,
638,120dup,15 - 24 years,Male,"75,001 - 100,000 rupees",Liaquatabad,"Visit a fair (books, food, crafts)",,
639,120dup,15 - 24 years,Male,"75,001 - 100,000 rupees",Liaquatabad,"Visit a religious building (mosque, church, temple, etc)",,
640,120dup,15 - 24 years,Male,"75,001 - 100,000 rupees",Liaquatabad,Visit an outdoors bazaar,,
641,120dup,15 - 24 years,Male,"75,001 - 100,000 rupees",Liaquatabad,Visit an indoors bazaar/mall,,
642,121,15 - 24 years,Male,"50,001 - 75,000 rupees",North Nazimabad Town,"Visit museums, galleries",No - I do not trust them,No - I do not wish to participate
643,121dup,15 - 24 years,Male,"50,001 - 75,000 rupees",North Nazimabad Town,"Visit monuments, historic sites",,
644,121dup,15 - 24 years,Male,"50,001 - 75,000 rupees",North Nazimabad Town,"Visit conferences, seminars (outside of institutional requirements)",,
645,121dup,15 - 24 years,Male,"50,001 - 75,000 rupees",North Nazimabad Town,Visit a park for a walks or leisure,,
646,121dup,15 - 24 years,Male,"50,001 - 75,000 rupees",North Nazimabad Town,Practice some sport of physical activity on a regular basis,,
647,121dup,15 - 24 years,Male,"50,001 - 75,000 rupees",North Nazimabad Town,"Visit a fair (books, food, crafts)",,
648,121dup,15 - 24 years,Male,"50,001 - 75,000 rupees",North Nazimabad Town,"Visit a religious building (mosque, church, temple, etc)",,
649,121dup,15 - 24 years,Male,"50,001 - 75,000 rupees",North Nazimabad Town,Visit a musical/dancing event (not including weddings),,
650,121dup,15 - 24 years,Male,"50,001 - 75,000 rupees",North Nazimabad Town,Visit an outdoors bazaar,,
651,121dup,15 - 24 years,Male,"50,001 - 75,000 rupees",North Nazimabad Town,Visit an indoors bazaar/mall,,
652,121dup,15 - 24 years,Male,"50,001 - 75,000 rupees",North Nazimabad Town,"Visit a natural area (hills, lakes, mangroves, etc)",,
653,122,15 - 24 years,Female,Prefer not to answer,North Nazimabad Town,Visit a park for a walks or leisure,Indifferent,No - I would like the opportunities to participate
654,122dup,15 - 24 years,Female,Prefer not to answer,North Nazimabad Town,"Visit a fair (books, food, crafts)",,
655,122dup,15 - 24 years,Female,Prefer not to answer,North Nazimabad Town,Visit an outdoors bazaar,,
656,122dup,15 - 24 years,Female,Prefer not to answer,North Nazimabad Town,Visit an indoors bazaar/mall,,
657,123,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Visit museums, galleries",No - I do not trust them,Yes - I would like more opportunities to participate
658,123dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal, Visit cultural events on the street or at public squares,,
659,123dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Visit a park for a walks or leisure,,
660,123dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal, Attend sporting events as a spectator,,
661,123dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Visit a fair (books, food, crafts)",,
662,123dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Visit a religious building (mosque, church, temple, etc)",,
663,123dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Visit an outdoors bazaar,,
664,123dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
665,123dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Visit a natural area (hills, lakes, mangroves, etc)",,
666,124,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit monuments, historic sites",No - I do not trust them,Yes - I would like more opportunities to participate
667,124dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit cultural events on the street or at public squares,,
668,124dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
669,124dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit a fair (books, food, crafts)",,
670,124dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
671,124dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit an outdoors bazaar,,
672,124dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
673,125,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,Visit a park for a walks or leisure,No - I do not trust them,No - I do not wish to participate
674,126,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,"Visit museums, galleries",Yes - I trust them,Yes - I would like more opportunities to participate
675,126dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,"Visit conferences, seminars (outside of institutional requirements)",,
676,126dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Visit cultural events on the street or at public squares,,
677,126dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
678,126dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,"Visit a theatre (play, movies)",,
679,126dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
680,126dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Visit an outdoors bazaar,,
681,126dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Visit an indoors bazaar/mall,,
682,126dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,"Visit a natural area (hills, lakes, mangroves, etc)",,
683,127,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
684,127dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit cultural events on the street or at public squares,,
685,127dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
686,127dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
687,127dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit a theatre (play, movies)",,
688,127dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit an outdoors bazaar,,
689,127dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
690,128,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,"Visit monuments, historic sites",No - I do not trust them,No - I would like the opportunities to participate
691,128dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Visit cultural events on the street or at public squares,,
692,128dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
693,128dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
694,128dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
695,128dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Visit an outdoors bazaar,,
696,128dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
697,129,15 - 24 years,Female,Prefer not to answer,,,Indifferent,
698,130,15 - 24 years,Female,Prefer not to answer,New Karachi Town,Visit a park for a walks or leisure,No - I do not trust them,No - I do not wish to participate
699,130dup,15 - 24 years,Female,Prefer not to answer,New Karachi Town,Visit an outdoors bazaar,,
700,130dup,15 - 24 years,Female,Prefer not to answer,New Karachi Town,Visit an indoors bazaar/mall,,
701,131,Below 15 years,Female,,Jamshed Quarters,"Visit a natural area (hills, lakes, mangroves, etc)",Indifferent,No - I do not wish to participate
702,132,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
703,132dup,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
704,132dup,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,Visit an outdoors bazaar,,
705,132dup,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,Visit an indoors bazaar/mall,,
706,133,25 - 44 years,Male,"Up to 25,000 rupees",Korangi,Participate in a protest,No - I do not trust them,Yes - I would like more opportunities to participate
707,134,Below 15 years,Female,,Gulshan-e-Iqbal,"Visit museums, galleries",No - I do not trust them,No - I do not wish to participate
708,134dup,Below 15 years,Female,,Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
709,135,Below 15 years,Female,,Jamshed Quarters,,Indifferent,No - I would like the opportunities to participate
710,136,15 - 24 years,Male,"125,001 - 150,000 rupees",Outside Karachi,"Visit monuments, historic sites",No - I do not trust them,Yes - I would like more opportunities to participate
711,136dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Outside Karachi,Visit a park for a walks or leisure,,
712,136dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Outside Karachi,Visit an indoors bazaar/mall,,
713,136dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Outside Karachi,"Visit a natural area (hills, lakes, mangroves, etc)",,
714,137,Below 15 years,Female,,Gulshan-e-Iqbal,Practice some sport of physical activity on a regular basis,Indifferent,Yes - I will not participate again
715,138,Below 15 years,Female,,Garden,Visit an outdoors bazaar,Indifferent,No - I do not wish to participate
716,139,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,,No - I do not trust them,No - I would like the opportunities to participate
717,140,Below 15 years,Female,,Gulshan-e-Iqbal,Practice some sport of physical activity on a regular basis,Indifferent,Yes - I would like more opportunities to participate
718,141,15 - 24 years,Male,"50,001 - 75,000 rupees",Clifton Cantonment,Attend sporting events as a spectator,No - I do not trust them,Yes - I would like more opportunities to participate
719,141dup,15 - 24 years,Male,"50,001 - 75,000 rupees",Clifton Cantonment,"Visit a theatre (play, movies)",,
720,141dup,15 - 24 years,Male,"50,001 - 75,000 rupees",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
721,141dup,15 - 24 years,Male,"50,001 - 75,000 rupees",Clifton Cantonment,Visit an outdoors bazaar,,
722,142,Below 15 years,Female,,Liaquatabad,"Visit museums, galleries",Indifferent,No - I would like the opportunities to participate
723,143,Below 15 years,Female,,Liaquatabad,"Visit museums, galleries",Indifferent,No - I would like the opportunities to participate
724,144,Below 15 years,Female,,Gulshan-e-Iqbal,"Visit museums, galleries",No - I do not trust them,Yes - I will not participate again
725,144dup,Below 15 years,Female,,Gulshan-e-Iqbal,"Visit monuments, historic sites",,
726,144dup,Below 15 years,Female,,Gulshan-e-Iqbal,Visit cultural events on the street or at public squares,,
727,144dup,Below 15 years,Female,,Gulshan-e-Iqbal,Visit a park for a walks or leisure,,
728,144dup,Below 15 years,Female,,Gulshan-e-Iqbal,Visit a musical/dancing event (not including weddings),,
729,144dup,Below 15 years,Female,,Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
730,144dup,Below 15 years,Female,,Gulshan-e-Iqbal,"Visit a natural area (hills, lakes, mangroves, etc)",,
731,145,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit conferences, seminars (outside of institutional requirements)",No - I do not trust them,Yes - I would like more opportunities to participate
732,145dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
733,145dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Attend sporting events as a spectator,,
734,145dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit a musical/dancing event (not including weddings),,
735,145dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Participate in a protest,,
736,145dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit an outdoors bazaar,,
737,145dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
738,145dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a natural area (hills, lakes, mangroves, etc)",,
739,146,Below 15 years,Female,,New Karachi Town,,,
740,147,Below 15 years,Female,,Garden,"Visit conferences, seminars (school requirements ke bahir)",No - I do not trust them,No - I would like the opportunities to participate
741,148,Below 15 years,Female,,Gulshan-e-Iqbal,"Visit museums, galleries",No - I do not trust them,Yes - I would like more opportunities to participate
742,148dup,Below 15 years,Female,,Gulshan-e-Iqbal,"Visit monuments, historic sites",,
743,148dup,Below 15 years,Female,,Gulshan-e-Iqbal,"Visit a theatre (play, movies)",,
744,148dup,Below 15 years,Female,,Gulshan-e-Iqbal,"Visit a fair (books, food, crafts)",,
745,148dup,Below 15 years,Female,,Gulshan-e-Iqbal,"Visit a religious building (mosque, church, temple, etc)",,
746,148dup,Below 15 years,Female,,Gulshan-e-Iqbal,Visit an outdoors bazaar,,
747,149,Below 15 years,Female,,Garden,Visit a park for a walks or leisure,No - I do not trust them,Yes - I would like more opportunities to participate
748,149dup,Below 15 years,Female,,Garden,Visit an outdoors bazaar,,
749,149dup,Below 15 years,Female,,Garden,Visit an indoors bazaar/mall,,
750,150,Below 15 years,Female,,Jamshed Quarters,Visit a park for a walks or leisure,Indifferent,No - I would like the opportunities to participate
751,150dup,Below 15 years,Female,,Jamshed Quarters,"Visit a theatre (play, movies)",,
752,150dup,Below 15 years,Female,,Jamshed Quarters,"Visit a fair (books, food, crafts)",,
753,150dup,Below 15 years,Female,,Jamshed Quarters,Visit an outdoors bazaar,,
754,150dup,Below 15 years,Female,,Jamshed Quarters,Visit an indoors bazaar/mall,,
755,150dup,Below 15 years,Female,,Jamshed Quarters,"Visit a natural area (hills, lakes, mangroves, etc)",,
756,151,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Visit monuments, historic sites",No - I do not trust them,Yes - I would like more opportunities to participate
757,151dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Visit cultural events on the street or at public squares,,
758,151dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Visit a park for a walks or leisure,,
759,151dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Practice some sport of physical activity on a regular basis,,
760,151dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Visit a fair (books, food, crafts)",,
761,151dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Participate in a protest,,
762,151dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Visit an outdoors bazaar,,
763,151dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
764,151dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Visit a natural area (hills, lakes, mangroves, etc)",,
765,152,Below 15 years,Female,,Gadap,Visit an indoors bazaar/mall,Indifferent,No - I would like the opportunities to participate
766,153,25 - 44 years,Male,Prefer not to answer,Outside Karachi,Visit an indoors bazaar/mall,No - I do not trust them,No - I would like the opportunities to participate
767,154,Below 15 years,Female,,Korangi,"Visit monuments, historic sites",Yes - I trust them,No - I would like the opportunities to participate
768,155,45 years and above,Male,"200,001 and above",Faisal Cantonment,Practice some sport of physical activity on a regular basis,No - I do not trust them,No - I would like the opportunities to participate
769,155dup,45 years and above,Male,"200,001 and above",Faisal Cantonment,Visit an indoors bazaar/mall,,
770,156,25 - 44 years,Male,"100,001 - 125,000 rupees",North Nazimabad Town,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
771,156dup,25 - 44 years,Male,"100,001 - 125,000 rupees",North Nazimabad Town,"Visit a fair (books, food, crafts)",,
772,156dup,25 - 44 years,Male,"100,001 - 125,000 rupees",North Nazimabad Town,"Visit a religious building (mosque, church, temple, etc)",,
773,156dup,25 - 44 years,Male,"100,001 - 125,000 rupees",North Nazimabad Town,Visit an outdoors bazaar,,
774,156dup,25 - 44 years,Male,"100,001 - 125,000 rupees",North Nazimabad Town,Visit an indoors bazaar/mall,,
775,157,25 - 44 years,Female,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
776,157dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Participate in a protest,,
777,157dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Visit a community centre,,
778,158,Below 15 years,Female,,Saddar,Visit a park for a walks or leisure,Indifferent,No - I do not wish to participate
779,159,Below 15 years,Female,,Gulshan-e-Iqbal,Visit a community centre,No - I do not trust them,No - I do not wish to participate
780,160,Below 15 years,Female,,Gulshan-e-Iqbal,Visit an indoors bazaar/mall,Indifferent,No - I would like the opportunities to participate
781,161,Below 15 years,Female,,Karachi Cantonment,Visit a park for a walks or leisure,Indifferent,No - I would like the opportunities to participate
782,161dup,Below 15 years,Female,,Karachi Cantonment,Attend sporting events as a spectator,,
783,161dup,Below 15 years,Female,,Karachi Cantonment,Visit an outdoors bazaar,,
784,162,Below 15 years,Female,,Garden,Visit a park for a walks or leisure,Indifferent,No - I would like the opportunities to participate
785,162dup,Below 15 years,Female,,Garden,Visit an outdoors bazaar,,
786,163,Below 15 years,Female,,Garden,Visit a park for a walks or leisure,Indifferent,No - I would like the opportunities to participate
787,163dup,Below 15 years,Female,,Garden,Visit an outdoors bazaar,,
788,164,Below 15 years,Female,,Gulshan-e-Iqbal,Visit a park for a walks or leisure,Indifferent,No - I would like the opportunities to participate
789,164dup,Below 15 years,Female,,Gulshan-e-Iqbal,"Visit a theatre (play, movies)",,
790,164dup,Below 15 years,Female,,Gulshan-e-Iqbal,"Visit a fair (books, food, crafts)",,
791,164dup,Below 15 years,Female,,Gulshan-e-Iqbal,Visit an outdoors bazaar,,
792,164dup,Below 15 years,Female,,Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
793,165,Below 15 years,Female,,Jamshed Quarters,"Visit conferences, seminars (school requirements ke bahir)",Indifferent,Yes - I would like more opportunities to participate
794,165dup,Below 15 years,Female,,Jamshed Quarters,Visit cultural events on the street or at public squares,,
795,165dup,Below 15 years,Female,,Jamshed Quarters,Visit a park for a walks or leisure,,
796,166,15 - 24 years,Male,"200,001 and above",Malir Cantonment,,Indifferent,No - I would like the opportunities to participate
797,167,Below 15 years,Female,,Gulshan-e-Iqbal,Visit a park for a walks or leisure,,No - I would like the opportunities to participate
798,167dup,Below 15 years,Female,,Gulshan-e-Iqbal,Practice some sport of physical activity on a regular basis,,
799,167dup,Below 15 years,Female,,Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
800,168,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Visit an outdoors bazaar,No - I do not trust them,No - I would like the opportunities to participate
801,168dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
802,169,Below 15 years,Female,,Garden,"Visit museums, galleries",Indifferent,No - I do not wish to participate
803,169dup,Below 15 years,Female,,Garden,Visit a park for a walks or leisure,,
804,169dup,Below 15 years,Female,,Garden,Visit an outdoors bazaar,,
805,169dup,Below 15 years,Female,,Garden,Visit an indoors bazaar/mall,,
806,170,25 - 44 years,Female,"150,001 - 175,000 rupees",Clifton Cantonment,"Visit museums, galleries",No - I do not trust them,Yes - I would like more opportunities to participate
807,170dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Clifton Cantonment,Visit a park for a walks or leisure,,
808,171,Below 15 years,Female,,Gulshan-e-Iqbal,Visit an outdoors bazaar,No - I do not trust them,No - I would like the opportunities to participate
809,172,15 - 24 years,Male,"200,001 and above",Outside Karachi,,No - I do not trust them,
810,173,15 - 24 years,Male,"200,001 and above",Outside Karachi,,No - I do not trust them,
811,174,Below 15 years,Female,,Jamshed Quarters,Visit a park for a walks or leisure,,
812,174dup,Below 15 years,Female,,Jamshed Quarters,"Visit a theatre (play, movies)",,
813,174dup,Below 15 years,Female,,Jamshed Quarters,Visit an outdoors bazaar,,
814,174dup,Below 15 years,Female,,Jamshed Quarters,Visit an indoors bazaar/mall,,
815,175,Below 15 years,Female,,Garden,"Visit a fair (books, food, crafts)",Yes - I trust them,No - I do not wish to participate
816,176,Below 15 years,Female,,Garden,Visit an outdoors bazaar,No - I do not trust them,No - I do not wish to participate
817,177,Below 15 years,Female,,Garden,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
818,178,Below 15 years,Female,,Garden,Visit an outdoors bazaar,No - I do not trust them,No - I would like the opportunities to participate
819,179,Below 15 years,Female,,Lyari,Visit a park for a walks or leisure,Indifferent,No - I would like the opportunities to participate
820,179dup,Below 15 years,Female,,Lyari,Practice some sport of physical activity on a regular basis,,
821,179dup,Below 15 years,Female,,Lyari,Visit an outdoors bazaar,,
822,180,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,Visit a park for a walks or leisure,No - I do not trust them,No - I do not wish to participate
823,180dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
824,180dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,Visit an indoors bazaar/mall,,
825,181,Below 15 years,Female,,Garden,Visit a park for a walks or leisure,Indifferent,No - I would like the opportunities to participate
826,181dup,Below 15 years,Female,,Garden,Visit an outdoors bazaar,,
827,182,Below 15 years,Female,,Garden,Visit a park for a walks or leisure,Indifferent,No - I would like the opportunities to participate
828,182dup,Below 15 years,Female,,Garden,Visit an outdoors bazaar,,
829,183,Below 15 years,Female,,Gulshan-e-Iqbal,Visit a park for a walks or leisure,Indifferent,Yes - I would like more opportunities to participate
830,184,Below 15 years,Female,,Garden,Visit an outdoors bazaar,Indifferent,No - I would like the opportunities to participate
831,185,45 years and above,Female,Prefer not to answer,Clifton Cantonment,"Visit museums, galleries",No - I do not trust them,No - I do not wish to participate
832,185dup,45 years and above,Female,Prefer not to answer,Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
833,185dup,45 years and above,Female,Prefer not to answer,Clifton Cantonment,Visit an outdoors bazaar,,
834,185dup,45 years and above,Female,Prefer not to answer,Clifton Cantonment,Visit an indoors bazaar/mall,,
835,185dup,45 years and above,Female,Prefer not to answer,Clifton Cantonment,"Visit a natural area (hills, lakes, mangroves, etc)",,
836,185dup,45 years and above,Female,Prefer not to answer,Clifton Cantonment,Visit a community centre,,
837,186,15 - 24 years,Female,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Visit museums, galleries",No - I do not trust them,Yes - I would like more opportunities to participate
838,186dup,15 - 24 years,Female,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Visit a theatre (play, movies)",,
839,186dup,15 - 24 years,Female,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Visit a musical/dancing event (not including weddings),,
840,186dup,15 - 24 years,Female,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Visit an outdoors bazaar,,
841,186dup,15 - 24 years,Female,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
842,186dup,15 - 24 years,Female,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Visit a natural area (hills, lakes, mangroves, etc)",,
843,187,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Visit conferences, seminars (outside of institutional requirements)",No - I do not trust them,Yes - I would like more opportunities to participate
844,187dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Visit a park for a walks or leisure,,
845,187dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Practice some sport of physical activity on a regular basis,,
846,187dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Visit a fair (books, food, crafts)",,
847,187dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
848,188,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,Visit cultural events on the street or at public squares,No - I do not trust them,Yes - I would like more opportunities to participate
849,188dup,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,Visit a park for a walks or leisure,,
850,188dup,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,Visit an outdoors bazaar,,
851,188dup,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
852,189,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,"Visit conferences, seminars (outside of institutional requirements)",No - I do not trust them,Yes - I would like more opportunities to participate
853,189dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Practice some sport of physical activity on a regular basis,,
854,189dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,"Visit a theatre (play, movies)",,
855,189dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,"Visit a fair (books, food, crafts)",,
856,189dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Visit a musical/dancing event (not including weddings),,
857,189dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Visit an outdoors bazaar,,
858,190,15 - 24 years,Male,"Up to 25,000 rupees",Gulshan-e-Iqbal,,No - I do not trust them,Yes - I would like more opportunities to participate
859,191,15 - 24 years,Prefer not to answer,"25,001 - 50,000 rupees",Lyari,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
860,192,15 - 24 years,Female,"75,001 - 100,000 rupees",Jamshed Quarters,,Indifferent,Yes - I would like more opportunities to participate
861,193,15 - 24 years,Female,Prefer not to answer,Saddar,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
862,193dup,15 - 24 years,Female,Prefer not to answer,Saddar,Visit an outdoors bazaar,,
863,194,15 - 24 years,Female,"100,001 - 125,000 rupees",Malir Cantonment,"Visit museums, galleries",No - I do not trust them,Yes - I would like more opportunities to participate
864,194dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Malir Cantonment,"Visit monuments, historic sites",,
865,194dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Malir Cantonment,Visit a park for a walks or leisure,,
866,194dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Malir Cantonment,Practice some sport of physical activity on a regular basis,,
867,194dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Malir Cantonment,Visit an outdoors bazaar,,
868,194dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Malir Cantonment,Visit an indoors bazaar/mall,,
869,194dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Malir Cantonment,"Visit a natural area (hills, lakes, mangroves, etc)",,
870,195,15 - 24 years,Female,"75,001 - 100,000 rupees",Jamshed Quarters,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
871,195dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Jamshed Quarters,Visit an outdoors bazaar,,
872,195dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Jamshed Quarters,Visit an indoors bazaar/mall,,
873,196,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Visit museums, galleries",Yes - I trust them,Yes - I would like more opportunities to participate
874,196dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Visit monuments, historic sites",,
875,196dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Visit a park for a walks or leisure,,
876,196dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Visit a religious building (mosque, church, temple, etc)",,
877,196dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Visit an outdoors bazaar,,
