,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""","In the last 12 months, have you done any of the following in Karachi? Please select all that apply",Do you trust Karachi's various administrative bodies and caretakers with your well-being?,Have you given feedback or participated in the design process of any public project in Karachi?
332,63,25 - 44 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
333,63dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Visit a religious building (mosque, church, temple, etc)",,
334,63dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
335,64,25 - 44 years,Male,"100,001 - 125,000 rupees",Gulzar-e-Hijri,Visit a park for a walks or leisure,No - I do not trust them,Yes - I would like more opportunities to participate
336,64dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Gulzar-e-Hijri,"Visit a religious building (mosque, church, temple, etc)",,
337,64dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Gulzar-e-Hijri,Visit an outdoors bazaar,,
338,64dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Gulzar-e-Hijri,Visit an indoors bazaar/mall,,
339,65,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit cultural events on the street or at public squares,No - I do not trust them,No - I would like the opportunities to participate
340,65dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
341,66,15 - 24 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Visit a park for a walks or leisure,No - I do not trust them,No - I do not wish to participate
342,66dup,15 - 24 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Practice some sport of physical activity on a regular basis,,
343,66dup,15 - 24 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Visit an outdoors bazaar,,
344,67,25 - 44 years,Male,"200,001 and above",Outside Karachi,,No - I do not trust them,No - I would like the opportunities to participate
345,68,15 - 24 years,Male,Prefer not to answer,Orangi,,,
346,69,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Visit monuments, historic sites",Indifferent,No - I would like the opportunities to participate
347,69dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Visit cultural events on the street or at public squares,,
348,69dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Visit a park for a walks or leisure,,
349,69dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Practice some sport of physical activity on a regular basis,,
350,69dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Visit a religious building (mosque, church, temple, etc)",,
351,69dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Visit an outdoors bazaar,,
352,69dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
353,69dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Visit a natural area (hills, lakes, mangroves, etc)",,
354,70,15 - 24 years,Female,"125,001 - 150,000 rupees",Outside Karachi,"Visit museums, galleries",Indifferent,No - I would like the opportunities to participate
355,70dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Outside Karachi,"Visit a fair (books, food, crafts)",,
356,70dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Outside Karachi,"Visit a religious building (mosque, church, temple, etc)",,
